"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1018.4","1022.0","1020.7","2022-12-01 08:50","1016.6","2022-12-01 14:36","17.9","18.8","2022-12-01 10:55","17.3","2022-12-01 00:01","16.4","91","83","2022-12-01 13:07","3.1","100","11.5","60","2022-12-01 10:05","3.5","6.4","1.5","2022-12-01 18:19","1.5","2022-12-01 18:19","0.1","0.9","6.13","15.3","-0.5","4","2022-12-01 11:00","9.5"
"02","1016.2","1019.8","1019.5","2022-12-02 09:20","1013.2","2022-12-02 23:58","19.0","20.4","2022-12-02 23:21","17.9","2022-12-02 01:12","17.3","90","85","2022-12-02 11:29","3.1","90","11.5","70","2022-12-02 14:05","3.0","2.9","0.5","2022-12-02 00:09","1.5","2022-12-02 00:09","0.1","0.9","6.56","18.3","-0.8","4","2022-12-02 12:00","9.0"
"03","1013.1","1016.6","1015.6","2022-12-03 08:55","1011.2","2022-12-03 14:40","21.8","24.8","2022-12-03 13:32","19.6","2022-12-03 05:24","20.3","92","75","2022-12-03 14:29","1.8","120","7.0","110","2022-12-03 16:14","0.5","1.2","0.5","2022-12-03 21:59","0.5","2022-12-03 21:59","2.8","26.4","9.36","13.3","-0.2","6","2022-12-03 13:00","9.3"
"04","1014.7","1018.3","1016.6","2022-12-04 09:28","1011.8","2022-12-04 02:48","21.8","23.2","2022-12-04 12:32","21.1","2022-12-04 23:24","19.5","87","77","2022-12-04 12:33","1.9","90","10.0","100","2022-12-04 13:49","0.0","0.0","0.0","...","0.0","...","0.0","0.0","6.86","18.3","1.7","4","2022-12-04 13:00","8.8"
"05","1016.9","1020.5","1018.8","2022-12-05 21:28","1014.0","2022-12-05 02:41","19.2","21.2","2022-12-05 00:01","16.9","2022-12-05 23:57","16.2","83","75","2022-12-05 15:28","1.5","80","7.3","80","2022-12-05 20:34","T","2.6","T","2022-12-05 10:05","T","2022-12-05 10:05","0.0","0.0","2.20","15.5","-0.5","1","2022-12-05 12:00","10.0"
"06","1016.7","1020.3","1019.2","2022-12-06 09:15","1014.7","2022-12-06 13:53","17.6","19.1","2022-12-06 13:03","16.3","2022-12-06 02:59","14.7","83","71","2022-12-06 13:06","3.1","100","12.7","100","2022-12-06 13:54","0.5","2.4","0.5","2022-12-06 06:11","0.5","2022-12-06 06:11","0.0","0.0","6.06","19.3","-1.5","4","2022-12-06 13:00","9.0"
"07","1015.5","1019.1","1016.7","2022-12-07 08:53","1014.2","2022-12-07 13:24","19.1","21.0","2022-12-07 12:19","17.8","2022-12-07 22:52","17.0","88","76","2022-12-07 00:01","1.9","90","8.0","60","2022-12-07 12:23","2.5","8.8","0.5","2022-12-07 14:05","1.0","2022-12-07 14:05","0.0","0.0","2.80","23.0","-0.1","3","2022-12-07 12:00","9.8"
"08","1014.4","1018.0","1016.4","2022-12-08 09:24","1012.7","2022-12-08 23:40","18.7","19.9","2022-12-08 10:51","17.8","2022-12-08 00:04","17.1","91","80","2022-12-08 12:53","1.6","120","6.1","80","2022-12-08 23:08","6.0","5.9","0.5","2022-12-08 00:02","1.5","2022-12-08 19:35","0.0","0.0","4.53","25.0","-0.4","4","2022-12-08 11:00","9.0"
"09","1011.2","1014.8","1012.7","2022-12-09 00:01","1009.2","2022-12-09 14:15","18.7","19.6","2022-12-09 13:26","18.1","2022-12-09 06:36","17.7","94","86","2022-12-09 22:03","1.6","90","7.7","80","2022-12-09 21:49","5.0","11.3","0.5","2022-12-09 05:48","1.5","2022-12-09 11:16","0.0","0.0","1.86","7.5","-0.6","2","2022-12-09 13:00","10.0"
"10","1009.9","1013.5","1011.7","2022-12-10 23:36","1007.7","2022-12-10 14:15","19.5","20.8","2022-12-10 13:12","18.2","2022-12-10 06:29","17.4","88","80","2022-12-10 17:28","1.9","80","9.4","60","2022-12-10 17:49","2.0","5.9","0.5","2022-12-10 05:14","1.0","2022-12-10 05:14","0.0","0.0","1.85","10.5","-0.5","1","2022-12-10 11:00","10.0"
"11","1013.8","1017.4","1015.8","2022-12-11 09:07","1011.6","2022-12-11 00:01","17.1","18.4","2022-12-11 00:01","16.0","2022-12-11 22:13","15.5","91","85","2022-12-11 16:02","2.0","90","11.5","90","2022-12-11 20:54","10.0","11.3","1.0","2022-12-11 00:54","5.0","2022-12-11 02:03","0.0","0.0","2.34","13.0","-0.6","2","2022-12-11 12:00","10.0"
